the_geom,OBJECTID,ADDRESS,LOCATION,STREET,PLACEMENT,RACKS,SPACES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,INSTALL_YR,INSTALL_MO,LAT,LON
POINT (-122.505375008983 37.760200947574),1783,4033 JUDAH ST,Trouble Coffee Company,JUDAH,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:03 AM +0000,{877BC68C-D3D7-4E95-BBE4-75F3C4572BA7},2010,0,37.760196,-122.505362
POINT (-122.403182792768 37.787694283237),1666,685 MARKET ST,Monadnock Building,MARKET,SIDEWALK,4,8,ETUVEL,12/17/2015 10:34:57 PM +0000,MTA,10/21/2017 12:22:02 AM +0000,{FA24CAEE-C6FB-45AB-9F6B-B75AA01C6F33},2015,8,37.787689,-122.40317
POINT (-122.437469009433 37.774833947711),2035,560 DIVISADERO ST,Nopa,DIVISADERO,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:52 AM +0000,{DAEBCB21-7781-4714-A4AF-3B24CCC89358},0,0,37.774829,-122.437456
POINT (-122.432560408713 37.761192127866),147,3988 18TH ST,Last Call bar,18TH,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:33 AM +0000,{6065FF70-B939-48A5-93C6-6413EB8140A9},2011,8,37.761187,-122.432547
POINT (-122.413169008099 37.774636948692),1195,1301 HOWARD ST,Rolo SOMA,HOWARD,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:21 AM +0000,{1E6CEEA2-2923-4D5C-B161-C0096D45E160},2003,0,37.774632,-122.413156
POINT (-122.418613955119 37.754815775392),3465,2639 Mission Street,MaxFitness Crossfit,MISSION,SIDEWALK,1,2,JMOLINA,07/24/2017 05:02:28 PM +0000,MTA,10/21/2017 12:21:33 AM +0000,{96C2A96A-5915-4BE6-AB4F-371B6B404986},2017,4,37.754811,-122.418601
POINT (-122.425599007911 37.764433947441),2178,3271 16TH ST,Laughing Lotus Yoga Center,16TH,SIDEWALK,2,4,,,MTA,10/21/2017 12:21:50 AM +0000,{A79A5D0F-951F-4F7C-9927-6F4C93230CBD},0,0,37.764429,-122.425586
POINT (-122.429057008457 37.751841947528),2820,3870 24TH ST,Ladybug Ladybug,24TH,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:25 AM +0000,{B804B6C2-D360-4A9E-8920-22ADB2AF81E7},2002,0,37.751837,-122.429044
POINT (-122.41253800876 37.787097948727),197,550 GEARY ST,Hotel Adagio,GEARY,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:24 AM +0000,{F64CFE77-AF11-4057-B6EC-0C4C15E5E92A},2011,11,37.787093,-122.412525
POINT (-122.436919009426 37.800252947581),876,2055 CHESTNUT ST,Wells Fargo,CHESTNUT,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:47 AM +0000,{69B3FBA6-E028-4E8E-AF74-5DB8FE7BFDEE},2004,0,37.800248,-122.436906
POINT (-122.398374808999 37.76487108766),370,1435 17TH ST,J.B.'s Place,17TH,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:52 AM +0000,{EC7A503E-B3C6-464F-9A95-36216B94704A},2010,10,37.764866,-122.398362
POINT (-122.410074208137 37.775296128239),221,293 08TH ST,residential,08TH,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:51 AM +0000,{263A1A90-2092-4FF7-9EC2-945C7FDA515A},0,0,37.775291,-122.410061
POINT (-122.396457008831 37.791238947866),2411,50 BEALE ST,Blue Shield of California and UCSF,BEALE,SIDEWALK,2,4,,,MTA,10/21/2017 12:22:02 AM +0000,{0991A1AD-522D-416C-904E-DA097AE1F1D5},2013,9,37.791234,-122.396444
POINT (-122.432958008207 37.760819948146),3001,4001 18TH ST,Kasa Indian Eatery,18TH,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:47 AM +0000,{8D0940D8-772E-4F26-BBC2-97A46959ABDF},2011,8,37.760815,-122.432945
POINT (-122.421505008197 37.76400994787),2005,559 VALENCIA ST,Curtis Hotel,VALENCIA,SIDEWALK,6,12,,,MTA,10/21/2017 12:21:52 AM +0000,{7C619C60-2B7E-44BD-9177-6BAE73E3F470},0,0,37.764005,-122.421492
POINT (-122.467192007909 37.781197947879),2805,4444 GEARY BLVD,Gaetani Bldg,GEARY,SIDEWALK,2,4,,,MTA,10/21/2017 12:21:25 AM +0000,{D939ACE2-1DC0-44F4-9CCF-B8AA704D22CD},2012,3,37.781193,-122.467179
POINT (-122.448328008272 37.769635947512),414,1597 HAIGHT ST,UNKNOWN,HAIGHT,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:20 AM +0000,{E97A1D10-9140-4C76-AA7B-B7BE179DE06C},2004,0,37.769631,-122.448315
POINT (-122.42137400866 37.743792947786),2317,3312 MISSION ST,Cole Hardware,MISSION,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:52 AM +0000,{6610C15E-EDB2-4ABC-A644-BD9AA2E18F6E},2010,10,37.743788,-122.421361
POINT (-122.408941009409 37.801009948343),2921,1640 STOCKTON ST,UNKNOWN,STOCKTON,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:37 AM +0000,{01C6EFD2-DAFA-45F2-8031-EC6DEAEECEF2},2003,0,37.801005,-122.408928
POINT (-122.406905009154 37.741388948251),395,390 BAYSHORE BLVD,American Gymnastics Club,BAYSHORE,SIDEWALK,2,4,,,MTA,10/21/2017 12:21:34 AM +0000,{64C7D2CF-61DF-4211-9CC8-7CB8D349DE80},2015,1,37.741384,-122.406892
POINT (-122.484674508014 37.742863748212),2078,1716 TARAVAL ST,Versus Games,TARAVAL,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:01 AM +0000,{CC012FE9-4859-40C3-8FA6-F3FE546074C1},2015,1,37.742859,-122.484661
POINT (-122.440145009544 37.800481948155),111,2240 CHESTNUT ST,Tuttimelon,CHESTNUT,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:51 AM +0000,{3E91FD84-9AB7-40C7-B48D-90B25B991459},2003,0,37.800477,-122.440132
POINT (-122.402524008994 37.789759947757),1024,45 MONTGOMERY ST,24 Hour Fitness,MONTGOMERY,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:22 AM +0000,{6D8CCDEB-7691-4335-91FD-283C7BA5AFA5},2010,11,37.789755,-122.402511
POINT (-122.419552008996 37.755526948042),2686,3242 22ND ST,Escape from New York Pizza,22ND,SIDEWALK,2,4,,,MTA,10/21/2017 12:21:36 AM +0000,{0B8A25C0-8B2A-4777-BA84-17F30065606C},0,0,37.755522,-122.419539
POINT (-122.421824008951 37.760956947912),222,746 VALENCIA ST,Outfit Generic,VALENCIA,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:24 AM +0000,{00D535B2-0706-4332-A739-C43FCC825ED1},2013,5,37.760952,-122.421811
POINT (-122.424176008534 37.77603894824),763,424 OCTAVIA ST,Biergarten and Patricia's Green,OCTAVIA,SIDEWALK,4,8,,,MTA,10/21/2017 12:21:37 AM +0000,{CC604687-76EA-47D3-9FBE-5D9FB37AC986},2012,4,37.776034,-122.424163
POINT (-122.434244008028 37.734058947249),2400,2834 DIAMOND ST,La Corneta Taqueria,DIAMOND,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:02 AM +0000,{CD8F5C3E-8780-4016-95CB-3741AD63B497},2002,0,37.734054,-122.434231
POINT (-122.417872009187 37.771873947897),741,112 12TH ST,warehouse,12TH,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:37 AM +0000,{DCC21419-C876-4FE5-95D7-0891FE4300B4},2004,0,37.771869,-122.417859
POINT (-122.425487654607 37.794465737778),1337,1837 PACIFIC AVE,Avenue Fine Food Market,PACIFIC,SIDEWALK,1,2,ETUVEL,12/17/2015 10:34:57 PM +0000,MTA,10/21/2017 12:21:20 AM +0000,{702EF347-F8C9-4FBF-9BE0-0511C7642EBD},2015,10,37.794461,-122.425474
POINT (-122.42072061078 37.807669218748),234,498 Jefferson Street,Capurro's Restaurant and Bar,JEFFERSON,SIDEWALK,7,14,ETUVEL,12/17/2015 10:34:57 PM +0000,MTA,10/21/2017 12:21:19 AM +0000,{B70E4711-735A-423A-8446-33FC3FEB88BC},2015,10,37.807664,-122.420707
POINT (-122.422921808958 37.755397717776),435,3394 22ND ST,Lone Palm Cocktail Bar,22ND,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:34 AM +0000,{1EC8A6EE-A092-4C1B-9DCF-E667FBA5DD03},2010,0,37.755393,-122.422909
POINT (-122.48112400891 37.763140947645),2522,2181 IRVING ST,Yum Yum Fish,IRVING,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:25 AM +0000,{83F35BD2-FCDB-4EA6-A544-F6D292A38185},2004,0,37.763136,-122.481111
POINT (-122.451211008811 37.769250547482),289,1727 HAIGHT ST,Second Act,HAIGHT,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:19 AM +0000,{ADC58EF3-7760-4FB6-A81C-E7279C16F703},2015,1,37.769246,-122.451198
POINT (-122.453725009497 37.787117947703),607,3701 SACRAMENTO ST,UNKNOWN,SACRAMENTO,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:21 AM +0000,{F53BEC6B-41DA-4E94-9E4F-FEE80AF0C0E7},2004,0,37.787113,-122.453712
POINT (-122.418218007848 37.776329947932),1902,1412 MARKET ST,New Central Hotel & Hostel,MARKET,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:50 AM +0000,{FEB00C1D-8B4F-4652-801F-634AB96E1AA4},2002,0,37.776325,-122.418205
POINT (-122.443370009129 37.770598947807),288,1296 HAIGHT ST,UNKNOWN,HAIGHT,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:19 AM +0000,{E60D1099-50ED-43BA-9B8B-5B661580B02C},2005,0,37.770594,-122.443357
POINT (-122.401235008702 37.787182947597),346,654 MISSION ST,SPUR,MISSION,SIDEWALK,3,6,,,MTA,10/21/2017 12:21:19 AM +0000,{EAE2002C-E68E-4F66-8307-44549A281F2F},2013,1,37.787178,-122.401222
POINT (-122.446252907983 37.724771667301),1644,51 HAVELOCK ST,Balboa Park Swimming Pool,HAVELOCK,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:02 AM +0000,{E4698F9D-D0DD-4338-AA47-5FE1F7574158},2010,0,37.724767,-122.44624
POINT (-122.422726009508 37.741667947846),172,3438 MISSION ST,Cafe St. Jorge,MISSION,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:24 AM +0000,{74767139-FBFC-4B68-A88A-76AD0D7B8DFD},0,0,37.741663,-122.422713
POINT (-122.414791008864 37.777946948141),1182,1231 MARKET ST,Hotel Whitcomb,MARKET,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:39 AM +0000,{57B52BD3-54D0-4DAC-93D7-A38AFB89D3F8},2002,0,37.777942,-122.414778
POINT (-122.427100008721 37.798372947795),400,1694 UNION ST,Mudpie,UNION,SIDEWALK,2,4,,,MTA,10/21/2017 12:21:20 AM +0000,{245B7190-3609-490B-9BB6-E32B22591FB0},2011,3,37.798368,-122.427087
POINT (-122.416699009328 37.763373948173),751,3175 17TH ST,Root Division,17TH,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:37 AM +0000,{18FAAFEB-35EC-4D5C-95AC-C3B5225E8F35},2011,3,37.763369,-122.416686
POINT (-122.424351008725 37.776914947844),1961,482 HAYES ST,Flipper's restaurant,HAYES,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:51 AM +0000,{C2F870CA-760B-4C4D-91C0-AB6ABA7AEB3C},0,0,37.77691,-122.424338
POINT (-122.402024008607 37.765724948088),2479,300 DE HARO ST,mulitple,DE HARO,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:24 AM +0000,{1C9650CE-F6D0-4177-B9A1-DFB20212623E},0,0,37.76572,-122.402011
POINT (-122.397672008457 37.786905948102),874,589 HOWARD ST,GitHub,HOWARD,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:47 AM +0000,{CB90EC04-E982-4FE0-A9B4-1CA33D32047D},2011,12,37.786901,-122.397659
POINT (-122.400934007881 37.77687794827),1283,739 BRYANT ST,Shared LLC,BRYANT,ROADWAY,5,10,,,MTA,10/21/2017 12:21:47 AM +0000,{D350B2ED-A6B4-4A72-87E8-AAD8C2974567},2013,12,37.776873,-122.400921
POINT (-122.389581008835 37.731804947889),2552,1601 LANE ST,YMCA Bay View,LANE,SIDEWALK,3,6,,,MTA,10/21/2017 12:21:25 AM +0000,{74D24807-0B5A-4495-B94E-C00F72DAA087},2011,6,37.7318,-122.389568
POINT (-122.421082009264 37.764695947921),1860,3071 16TH ST,Pancho Villa Tacqueria,16TH,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:49 AM +0000,{5C4BA13B-3BAB-4DE7-A015-4FD606DBECB2},2006,0,37.764691,-122.421069
POINT (-122.437405008701 37.760934948304),1157,4304 18TH ST,US Post Office,DIAMOND,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:21 AM +0000,{48B2AD88-9E88-4B28-8DC3-46CB11621027},2002,0,37.76093,-122.437392
POINT (-122.481954221441 37.753935601713),3419,1709 Noriega,Cheaper Cigarettes,NORIEGA,SIDEWALK,1,2,JMOLINA,07/24/2017 05:02:28 PM +0000,MTA,10/21/2017 12:21:35 AM +0000,{AAFA6E00-FEAF-4F03-8B1E-1FE015ABAB7C},2016,8,37.753931,-122.481941
POINT (-122.44594100847 37.771617947537),2725,1025 MASONIC AVE,Saint Agnes Church,MASONIC,SIDEWALK,2,4,,,MTA,10/21/2017 12:22:03 AM +0000,{179120D2-38D9-46E3-9F86-AF5F61A5C6F6},2012,2,37.771613,-122.445928
POINT (-122.42334600886 37.794086948216),2840,2001 VAN NESS AVE,UNKNOWN,VAN NESS,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:33 AM +0000,{99271FBF-6D0F-424D-827F-55079BD8EB08},2003,0,37.794082,-122.423333
POINT (-122.422531008082 37.768303948261),1341,298 VALENCIA ST,Carlin's Cafe,VALENCIA,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:20 AM +0000,{ED6D83A3-C899-48F1-91B0-1FE49BDE2F6B},2004,0,37.768299,-122.422518
POINT (-122.498452008805 37.737386947386),2253,2601 40TH AVE,South Sunset Playground,VICENTE,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:04 AM +0000,{9EF4A648-9321-461A-8E6F-B2B3AB3ED7D6},2012,8,37.737382,-122.498439
POINT (-122.399944008986 37.795513947919),18,444 BATTERY ST,LiveNation Punch Line Comedy Club,BATTERY,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:23 AM +0000,{A9E4BAF7-E43F-4929-84AB-E34D65D6DD4D},2010,0,37.795509,-122.399931
POINT (-122.44204280784 37.777474168426),1835,1800 MCALLISTER ST,McBaker Grocery and Liquor,MCALLISTER,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:49 AM +0000,{E4EAB556-095A-4B31-A0FD-B6AD15712E17},2002,0,37.777469,-122.44203
POINT (-122.432560008152 37.761191947615),2211,3998 18TH ST,7-Eleven,18TH,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:50 AM +0000,{05D86E6B-329B-487A-9A60-9399E679565A},2011,8,37.761187,-122.432547
POINT (-122.421585008454 37.793575948351),1123,1813 POLK ST,Maneframe,POLK,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:23 AM +0000,{22AF0C9E-DB73-43A1-AD55-AAFD91DD6EDC},2004,0,37.793571,-122.421572
POINT (-122.460192008611 37.724987948309),1265,1708 OCEAN AVE,Miracle Cleaners,OCEAN,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:22 AM +0000,{6FD18D0D-A8A8-4FA4-B446-A1D9BA981027},2010,0,37.724983,-122.460179
POINT (-122.434336008972 37.75099594761),1567,1314 CASTRO ST,Tierra Mia,CASTRO,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:49 AM +0000,{23D9D1A8-6F7B-403F-8019-379B3A584A84},2003,0,37.750991,-122.434323
POINT (-122.427243008695 37.746750947745),1126,1500 CHURCH ST,UNKNOWN,CHURCH,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:23 AM +0000,{523F20EF-0C32-4658-BC65-D61CB0170AC9},2003,0,37.746746,-122.42723
POINT (-122.390233909371 37.789958248405),2815,None,Market Battery Plaza,BUSH,SIDEWALK,13,26,,,MTA,10/21/2017 12:21:25 AM +0000,{47D1FFF4-D60C-40AD-AA2A-1BC8E26284D0},2015,1,37.789953,-122.390221
POINT (-122.406448008028 37.776090947854),2860,375 07TH ST,Bessie Carmichael CDC,07TH,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:36 AM +0000,{91E30C43-C942-4512-A7A4-05EEDC4214C7},2013,1,37.776086,-122.406435
POINT (-122.423925008514 37.782761948307),2761,1010 GOUGH ST,Family Service Agency of SF,GOUGH,SIDEWALK,3,6,,,MTA,10/21/2017 12:21:24 AM +0000,{17EDA7C9-9A23-4419-B352-D9E8C9AE916C},2010,11,37.782757,-122.423912
POINT (-122.405152008877 37.711501948172),1469,57 LELAND AVE,Visiticion Chinese Baptist Church,LELAND,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:52 AM +0000,{7E346224-DDD6-481F-B5C6-149550C3F655},2009,0,37.711497,-122.405139
POINT (-122.464466809111 37.779927547455),2268,461 06TH AVE,SFPD Richmond Station,06TH,SIDEWALK,2,4,,,MTA,10/21/2017 12:21:51 AM +0000,{4633DEE5-0EC9-4777-8835-FED059BEEAF8},2015,1,37.779923,-122.464454
POINT (-122.403033209199 37.78741038839),1290,11 03RD ST,Subway,03RD,SIDEWALK,1,0,,,MTA,10/21/2017 12:21:48 AM +0000,{EABB289D-6335-497A-96D8-F9FFE42A3B77},0,0,37.787405,-122.40302
POINT (-122.399566008818 37.787513948056),2503,124 02ND ST,Patelco Credit Union,02ND,SIDEWALK,2,4,,,MTA,10/21/2017 12:21:24 AM +0000,{559BCD1A-A965-47FF-9C59-C33A292DFD1E},2013,1,37.787509,-122.399553
POINT (-122.421841008848 37.761127947859),1342,736 VALENCIA ST,Mission Cheese,VALENCIA,ROADWAY,6,12,,,MTA,10/21/2017 12:21:48 AM +0000,{1CAA4166-16AF-441B-A6D3-2879ACC57BD5},2014,5,37.761123,-122.421828
POINT (-122.448646008866 37.76869694814),2518,1501 WALLER ST,Soulful Pilates,WALLER,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:25 AM +0000,{0733756E-0194-43D9-BD01-65FB1F319D69},2012,3,37.768692,-122.448633
POINT (-122.424189008069 37.761361947703),736,3621 18TH ST,Delfina,18TH,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:37 AM +0000,{3AE4C851-C991-413D-9D4D-C714932C49E5},0,0,37.761357,-122.424176
POINT (-122.402123108941 37.786571347466),1169,95 03RD ST,UC Berkeley Extension,03RD,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:39 AM +0000,{7F21E58A-83B1-428A-A324-FCE25694680A},2015,7,37.786566,-122.40211
POINT (-122.472438008314 37.76399494776),2006,1342 IRVING ST,Europa Express,IRVING,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:52 AM +0000,{63635848-91ED-4086-8D45-FCCDBAF31687},2002,0,37.76399,-122.472425
POINT (-122.410405008624 37.799209948142),1116,1560 POWELL ST,UNKNOWN,POWELL,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:39 AM +0000,{48EB3BF8-D7D4-478B-9EBE-043F131D4181},2006,0,37.799205,-122.410392
POINT (-122.409229009186 37.782519948263),1343,969 MARKET ST,UNKNOWN,MARKET,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:20 AM +0000,{57DBEF78-7F06-4D22-9794-9E396BEFABBA},2002,0,37.782515,-122.409216
POINT (-122.432827008917 37.764889948542),2171,2282 MARKET ST,UNKNOWN,MARKET,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:50 AM +0000,{BFC3BF94-D80A-4540-9AF0-30C3E33EFCBC},2002,0,37.764885,-122.432814
POINT (-122.410565008991 37.77507494804),2431,290 08TH ST,Lutheran Social Services of Northern CA,08TH,SIDEWALK,2,4,,,MTA,10/21/2017 12:22:03 AM +0000,{07B5AE0A-7619-42AF-A845-6983E3C35F83},2011,3,37.77507,-122.410552
POINT (-122.400811208874 37.786711247151),38,657 MISSION ST,GLBT Historical Society,MISSION,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:50 AM +0000,{CDED8A0C-4383-41F6-9E80-324704897129},2015,7,37.786706,-122.400798
POINT (-122.390626281201 37.735492130943),3311,4716 03rd Street,Community Pop Up Shop,03RD,SIDEWALK,1,2,JMOLINA,07/24/2017 05:02:28 PM +0000,MTA,10/21/2017 12:21:25 AM +0000,{3AB05A91-7F45-4E9C-9435-545E35C0D719},2017,2,37.735487,-122.390613
POINT (-122.464885008101 37.783188948112),1376,520 CLEMENT ST,Green Apple Books,CLEMENT,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:52 AM +0000,{B77368E5-CC54-460C-A769-B6851DE3D05F},2010,0,37.783184,-122.464872
POINT (-122.421046008492 37.753104947874),2748,1234 VALENCIA ST,Yoga Tree,VALENCIA,ROADWAY,5,10,,,MTA,10/21/2017 12:21:24 AM +0000,{1E9F8EAB-1324-4D80-9FEF-35B6C3BD9AF3},2011,12,37.7531,-122.421033
POINT (-122.415421008878 37.762835947762),1445,2150 FOLSOM ST,Workspace Artists Studio,FOLSOM,SIDEWALK,2,4,,,MTA,10/21/2017 12:21:52 AM +0000,{01613FFC-657A-40B0-AE29-E0714DF84240},2011,3,37.762831,-122.415408
POINT (-122.438756008214 37.773439947922),1530,308 BRODERICK ST,Falletti Foods Store Products,BRODERICK,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:53 AM +0000,{BA79FD70-89E5-4358-B8DB-DA2295F9498F},2012,8,37.773435,-122.438743
POINT (-122.419719008219 37.787110948231),1932,1124 POLK ST,Let it Bleed Tattoo,POLK,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:50 AM +0000,{798F7F03-9ED0-47C0-A374-B14C5E9D93CE},2013,4,37.787106,-122.419706
POINT (-122.482642409533 37.763071158528),1506,1311 24TH AVE,Olson's Cleaners,24TH,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:53 AM +0000,{5BBB0502-4191-4C1B-A5C1-8E0AB8E08D7F},2005,0,37.763066,-122.482629
POINT (-122.468040727279 37.78271939186),3367,837 Clement,US Postal Office,CLEMENT,SIDEWALK,1,2,JMOLINA,07/24/2017 05:02:28 PM +0000,MTA,10/21/2017 12:21:34 AM +0000,{2B2A0F83-E817-4BE5-A7AE-29F9FEF0A3A6},2016,10,37.782714,-122.468028
POINT (-122.403040908199 37.789531158171),1963,135 SUTTER ST,Crocker Galleria,SUTTER,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:51 AM +0000,{3AB065A2-8EA8-4E4A-A5F6-EDD76E769D1A},2012,7,37.789526,-122.403028
POINT (-122.415058008047 37.769108947933),2417,1745 FOLSOM ST,Rainbow Grocery,FOLSOM,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:02 AM +0000,{EEEA2C52-B90A-4FBC-8525-DAFD78ECD919},2003,0,37.769104,-122.415045
POINT (-122.418218007848 37.776329947932),2603,1400 MARKET ST,Little Griddle,MARKET,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:34 AM +0000,{8BA5B526-A203-4DC1-9704-3820138460F6},2011,3,37.776325,-122.418205
POINT (-122.387938021337 37.75147892105),3288,829 26th Street,Wine House,26TH,SIDEWALK,2,4,JMOLINA,07/24/2017 05:02:28 PM +0000,MTA,10/21/2017 12:21:50 AM +0000,{E330CC18-8256-4AE4-BAC1-0731D3BB5A21},2017,2,37.751474,-122.387925
POINT (-122.437401007967 37.772840948464),2102,369 DIVISADERO ST,Vinyl Wine Bar,DIVISADERO,SIDEWALK,1,2,,,MTA,10/21/2017 12:22:01 AM +0000,{9CEEED03-DF31-4104-8B58-F52CC1722A9C},2006,0,37.772836,-122.437388
POINT (-122.463022274939 37.777215849024),3345,405 Balboa,Image Hair Design,BALBOA,SIDEWALK,1,2,JMOLINA,07/24/2017 05:02:28 PM +0000,MTA,10/21/2017 12:21:33 AM +0000,{E896C6F7-3403-46A2-8419-799BCCC15A90},2016,10,37.777211,-122.463009
POINT (-122.411630008802 37.774108947651),729,299 09TH ST,Azucar Lounge,FOLSOM,SIDEWALK,2,4,,,MTA,10/21/2017 12:21:23 AM +0000,{2550CC76-0E93-40F0-B1E4-D5A39ED77235},2015,1,37.774104,-122.411617
POINT (-122.463777008646 37.783224947204),2365,406 CLEMENT ST,Rockit Room,CLEMENT,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:53 AM +0000,{9F0C8162-4E2B-4733-B526-B445AEB1CE06},2002,0,37.78322,-122.463764
POINT (-122.425499239302 37.736802483316),3411,1 South Park St,The American Grilled Cheese Kitchen,SOUTH PARK,SIDEWALK,1,2,JMOLINA,07/24/2017 05:02:28 PM +0000,MTA,10/21/2017 12:21:35 AM +0000,{BACF8737-D5B0-407B-BC14-8ABEF7FB7629},2016,8,37.736798,-122.425486
POINT (-122.465540009022 37.764251947653),1628,700 IRVING ST,Pasquale's Pizzeria,IRVING,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:53 AM +0000,{41013C3B-3271-48B4-8A1B-5037668E4AAE},2013,8,37.764247,-122.465527
POINT (-122.392554844151 37.729251478663),3333,5299 03rd Street,Frankie's Discount and Variety,03RD,SIDEWALK,2,4,JMOLINA,07/24/2017 05:02:28 PM +0000,MTA,10/21/2017 12:21:33 AM +0000,{737F81D1-A3C4-4F1D-B647-E4F59B8AA289},2017,3,37.729247,-122.392542
POINT (-122.449334009025 37.769987947635),333,1640 HAIGHT ST,Bia's Restaurant and Wine Bar,HAIGHT,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:19 AM +0000,{C62A91D1-C0C4-4E44-8E58-0FCA48342EA7},2002,0,37.769983,-122.449321
POINT (-122.421772009319 37.76701694821),2231,375 VALENCIA ST,Four Barrel Coffee,VALENCIA,SIDEWALK,4,8,,,MTA,10/21/2017 12:22:04 AM +0000,{A5715FCF-E487-4F0D-B620-BB4207C9AF0E},2011,0,37.767012,-122.421759
POINT (-122.405384008478 37.79643894815),2779,919 KEARNY ST,House of Nanking,KEARNY,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:25 AM +0000,{C4FB6E80-F502-4583-A93F-AF9F52F20E1C},2010,0,37.796434,-122.405371
POINT (-122.421649008578 37.793835947821),423,1825 POLK ST,High Trails Cyclery,POLK,SIDEWALK,2,4,,,MTA,10/21/2017 12:21:20 AM +0000,{ABD0292C-8B69-4A75-8386-79F7BD0A9CD2},2011,4,37.793831,-122.421636
POINT (-122.418949122909 37.790873635795),3482,1494 California St,Olea,CALIFORNIA,SIDEWALK,2,4,JMOLINA,07/24/2017 05:02:28 PM +0000,MTA,10/21/2017 12:21:34 AM +0000,{60703F1C-30D2-4CE3-BCB2-40E30C8DB823},2016,11,37.790869,-122.418936
POINT (-122.453151008897 37.786039948032),1973,3595 CALIFORNIA ST,Starbucks,CALIFORNIA,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:51 AM +0000,{F80A3DD5-29AD-4CF4-89A2-975E6F79DF4E},2010,0,37.786035,-122.453138
POINT (-122.420049008177 37.783254948167),1090,750 EDDY ST,UNKNOWN,EDDY,SIDEWALK,1,2,,,MTA,10/21/2017 12:21:38 AM +0000,{5A231E46-14A0-4054-80D6-5BFB379239B8},2003,0,37.78325,-122.420036
